
UnOfficial ROM Database (Project64.rdb) v4.24 (2021/4/25)
Changes since Official RDB v1.6.016



Changes were made ONLY for the following games, and ONLY as described below:
(any other compatibility changes you see are not the result of updating to this RDB!)
(*Use Changed Name, please read under text)

Title:									Details:
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (J)		Changed Status to Needs video plugin, Changed to Recompiler, Changed SaveType to First Save Type
AI Shougi 3 (J)								Changed Status=Compatible, Added Cheat0=81068FCE 0000 //freeze fix by Jelta
Akumajou Dracula Mokushiroku - Real Action Adventure (J)		Changed RDRAM to 4MB, Changed SaveType to 16kbit Eeprom
Akumajou Dracula Mokushiroku Gaiden - Legend of Cornell (J)		Changed SaveType to 16kbit Eeprom
Biohazard 2 (J)								Changed RDRAM to 8MB, Changed Resolution Width=319,Resolution Height=239
Baku Bomberman (J)							Changed SMCM to Protected Memory
Bass Rush - ECOGEAR PowerWorm Championship (J)				Changed Status to Issues (plugin), Added Plugin Note=[video] errors:textures (use Force Alpha Blending),Resolution Height=239
Beetle Adventure Racing (J)						Changed Status to Issues (plugin), Added Plugin Note=[video] errors:various (see GameFAQ); use D3D6 plugin
Beetle Adventure Racing! (U) (M3)					Changed Status to Issues (plugin), Added Plugin Note=[video] errors:various (see GameFAQ); use D3D6 plugin
Body Harvest (E) (M3) 							Changed Culling=0,Added Cheat0=8104DCD2 0808 //Clipping fix
Body Harvest (U)							Changed Culling=0
Castlevania (E) (M3)							Changed RDRAM to 4MB
Castlevania (U) (V1.0/1.2)						Changed RDRAM to 4MB
Chou Kuukan Nighter Pro Yakyuu King (J)					Removed Plugin Note=D3D6
Chou Kuukan Nighter Pro Yakyuu King 2 (J)				Removed Plugin Note=D3D6
Dark Rift (E/U)								Changed CF to 1, Use Large Buffer=Yes, Culling=1
Densha de GO! 64 (J)							Changed Statusto Compatible, CPU Type to Recompiler, Linking=Off,Cheat0=81046576 0000 //freeze fix by Jelta
Destruction Derby 64 (E/U)						Changed Linking=Off
Derby Stallion 64 (J)							Changed Status to Compatible, CPU Type to Recompiler, Linking=Off, Removed Core Note, Added Cheat0=D10C21A2 3021,810C21A0 2406,D10C21A2 3021,810C21A2 0001
